img,Pose,Probabilidad,flag,username,timestamp
/Users/johanjairgilcesreyes/Desktop/ESPOL/IA/Proyecto/YOGA/flagged/img/4f25b161baeb2d5c0764a32d070d804376108344/tmpgmqby2b0.jpg,/Users/johanjairgilcesreyes/Desktop/ESPOL/IA/Proyecto/YOGA/flagged/Pose/tmpr_wxv886.json,45.72%,,,2023-08-24 10:44:53.083740
/Users/johanjairgilcesreyes/Desktop/ESPOL/IA/Proyecto/YOGA/flagged/img/ecafcfa2f10ee57fdf5ff72a26a6a4a2dd653c7c/tmp72kalqyg.jpg,/Users/johanjairgilcesreyes/Desktop/ESPOL/IA/Proyecto/YOGA/flagged/Pose/tmpm5r9mrr7.json,50.56%,,,2023-08-24 11:25:11.156884
